Tahun,Provinsi,Luas_Area_Negara,Produksi_Negara,Produktivitas_Negara,Luas_Area_Swasta,Produksi_Swasta,Produktivitas_Swasta,Luas_Area_Rakyat,Produksi_Rakyat,Produktivitas_Rakyat,Total_Area,Total_Produksi,Produktivitas_Total,Pangsa_Produksi_Nasional_Persen
2011,Kalimantan Selatan,13768,27065,1.97,351224,906211,2.58,59818,113325,1.89,424810,1046601,2.46,4.37
2011,Kalimantan Tengah,0,0,0.00,879804,2255236,2.56,128548,244018,1.90,1008352,2499254,2.48,10.42
2011,Kalimantan Timur,43190,146972,3.40,455836,748066,1.64,158235,168793,1.07,657261,1063831,1.62,4.44
2011,Kepulauan Riau,0,0,0.00,5846,13975,2.39,2868,2919,1.02,8714,16894,1.94,0.07
2011,Lampung,17877,56446,3.16,47825,190253,3.98,57652,167820,2.91,123354,414519,3.36,1.73
2011,Maluku,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Maluku Utara,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Nusa Tenggara Barat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Nusa Tenggara Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Papua,12079,24410,2.02,17595,62508,3.55,9818,16135,1.64,39492,103053,2.61,0.43
2011,Papua Barat,2807,7363,2.62,6408,13347,2.08,10915,33397,3.06,20130,54107,2.69,0.23
2011,Riau,78979,244393,3.09,634551,2330298,3.67,1205498,3174176,2.63,1919028,5748867,3.00,23.98
2011,Sulawesi Barat,0,0,0.00,41371,135052,3.26,53854,111013,2.06,95225,246065,2.58,1.03
2011,Sulawesi Selatan,10009,19403,1.94,2475,5881,2.38,15391,23909,1.55,27875,49193,1.76,0.21
2011,Sulawesi Tengah,3755,3950,1.05,40102,85422,2.13,49977,96798,1.94,93834,186170,1.98,0.78
2011,Sulawesi Tenggara,4802,3799,0.79,35852,12323,0.34,4157,69,0.02,44811,16191,0.36,0.07
2011,Sulawesi Utara,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Sumatera Barat,9367,34156,3.65,184792,509965,2.76,176495,383280,2.17,370654,927401,2.50,3.87
2011,Sumatera Selatan,48915,146442,2.99,458692,1296388,2.83,366197,1007385,2.75,873804,2450215,2.80,10.22
2011,Sumatera Utara,300576,1030666,3.43,457605,1689229,3.69,405801,1194279,2.94,1163982,3914174,3.36,16.33
2012,Aceh,39249,63726,1.62,146600,354548,2.42,195639,236525,1.21,381488,654799,1.72,2.84
2012,Bali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Bangka Belitung,0,0,0.00,129820,423790,3.26,60567,80811,1.33,190387,504601,2.65,2.19
2012,Banten,11396,16168,1.42,848,1022,1.21,7629,10483,1.37,19873,27673,1.39,0.12
2012,Bengkulu,4386,15591,3.55,91981,322510,3.51,193839,463921,2.39,290206,802022,2.76,3.48
2012,D.I. Yogyakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,DKI Jakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Gorontalo,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Jambi,26179,78297,2.99,242681,744595,3.07,427950,895399,2.09,696810,1718291,2.47,7.45
2012,Jawa Barat,17672,3189,0.18,4943,10883,2.20,179105,7515,0.04,220720,22720,0.10,0.10
2012,Jawa Tengah,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Jawa Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Kalimantan Barat,66295,193446,2.92,538329,1197562,2.22,293306,439851,1.50,897930,1830859,2.04,7.94
2012,Kalimantan Selatan,13896,43069,3.10,416134,1065687,2.56,67564,124328,1.84,497694,1233084,2.48,5.35
2012,Kalimantan Tengah,700382,967110,1.38,2707721,1126506,0.42,158696,250178,1.58,2958281,0,0.00,0.00
2012,Kalimantan Timur,57439,158929,2.77,515227,955469,1.85,216720,183744,0.85,789386,1298142,1.64,5.63
