Tahun,Provinsi,Luas_Area_Negara,Produksi_Negara,Luas_Area_Swasta,Produksi_Swasta,Luas_Area_Rakyat,Produksi_Rakyat,Total_Area,Total_Produksi
2014,Kepulauan Bangka Belitung,0,0,144702,416005,61505,100592,206207,516597
2014,Kepulauan Riau,0,0,17753,43892,1248,1109,19001,45001
2014,DKI Jakarta,0,0,0,0,0,0,0,0
2014,Jawa Barat,27909,3139,4944,13624,259168,10226,292021,33021
2014,Jawa Tengah,0,0,0,0,0,0,0,0
2014,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2014,Jawa Timur,0,0,0,0,0,0,0,0
2014,Banten,9275,12869,2513,1030,7936,10401,19724,24300
2014,Bali,0,0,0,0,0,0,0,0
2014,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2014,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2014,Kalimantan Barat,56205,125090,540336,1347432,339866,492993,936407,1965515
2014,Kalimantan Tengah,700382,974324,2929175,115933,140909,228682,3770466,1318939
2014,Kalimantan Selatan,16886,54345,416318,1249471,79693,156750,512897,1460566
2014,Kalimantan Timur,57749,189813,438696,901791,236952,315733,733397,1407337
2014,Kalimantan Utara,0,0,128470,210324,24845,45379,153315,255703
2014,Sulawesi Utara,0,0,0,0,0,0,0,0
2014,Sulawesi Tengah,1133,1505,77093,125667,69686,127191,147912,254363
2014,Sulawesi Selatan,18589,38149,2518,5825,29807,34919,50914,78893
2014,Sulawesi Tenggara,3817,5614,35476,65231,5913,128,45206,70973
2014,Gorontalo,0,0,0,0,4306,0,4306,0
2014,Sulawesi Barat,0,0,45471,125947,60894,159575,106365,285522
2014,Maluku,0,0,9197,0,1100,0,10297,0
2014,Maluku Utara,0,0,0,0,0,0,0,0
2014,Papua Barat,2807,7363,35385,29923,11405,36705,49597,73991
2014,Papua,12079,24999,24397,60357,14884,8666,51360,94022
2015,Aceh,41770,65041,166354,446097,220092,385175,428216,896313
2015,Sumatera Utara,324043,1222054,684977,2773793,418002,1197288,1427022,5193135
2015,Sumatera Barat,9261,26424,180036,440401,194089,459793,383386,926618
2015,Riau,91854,312012,954519,4135981,1354503,3611853,2400876,8059846
2015,Jambi,23758,84713,240566,711919,450075,998243,714399,1794875
2015,Sumatera Selatan,49051,132370,471928,1520758,431104,1168810,952083,2821938
2015,Bengkulu,4677,16684,93090,263883,191147,466954,288914,747521
2015,Lampung,15347,42222,81107,217028,111414,175064,207868,434314
2015,Kepulauan Bangka Belitung,0,0,147871,416005,63212,107084,211083,523089
2015,Kepulauan Riau,0,0,17753,43892,1260,1170,19013,45062
2015,DKI Jakarta,0,0,0,0,0,0,0,0
2015,Jawa Barat,9636,25196,4186,9602,261224,0,275046,34798
2015,Jawa Tengah,0,0,0,0,0,0,0,0
2015,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2015,Jawa Timur,0,0,0,0,0,0,0,0
2015,Banten,9604,17274,2149,1612,7531,6629,19284,25515
2015,Bali,0,0,0,0,0,0,0,0
2015,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2015,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2015,Kalimantan Barat,51428,116106,710472,1348260,382285,703770,1144185,2168136
2015,Kalimantan Tengah,0,0,995728,3341513,146277,231470,1142005,3572983
2015,Kalimantan Selatan,16969,51925,323367,809261,80732,188277,421068,1049463
2015,Kalimantan Timur,57373,156239,536260,1065939,255976,364446,849609,1586624
2015,Kalimantan Utara,0,0,132137,223211,25289,44876,157426,268087
2015,Sulawesi Utara,0,0,0,0,0,0,0,0
2015,Sulawesi Tengah,1133,1783,76343,133182,73646,140385,151122,275350
2015,Sulawesi Selatan,19098,38803,2533,5850,30073,66895,51704,111548
2015,Sulawesi Tenggara,3817,5614,35476,66589,6466,211,45759,72414
2015,Gorontalo,0,0,6832,70,4306,10,11138,80
2015,Sulawesi Barat,0,0,46994,130266,61160,164351,108154,294617
2015,Maluku,0,0,9197,0,853,25,10050,25
2015,Maluku Utara,0,0,0,0,0,0,0,0
2015,Papua Barat,2882,7363,36712,29923,11404,36705,51000,73991
2015,Papua,12193,24999,24397,60357,14243,8120,50833,93476
2016,Aceh,28419,53264,113430,270706,228230,408744,370079,732714
2016,Sumatera Utara,363878,1118555,560836,1633530,417809,1231646,1342523,3983731
2016,Sumatera Barat,15079,91234,154461,592152,208900,499672,378440,1183058
2016,Riau,59792,197786,569818,3342790,1383341,3884532,2012951,7425108
2016,Jambi,24062,64765,171865,359983,467573,1010393,663500,1435141
2016,Sumatera Selatan,32893,73086,401129,1368057,467660,1488309,901682,2929452
2016,Bengkulu,1212,4841,91588,272571,192296,472770,285096,750182
2016,Lampung,13667,45759,73250,203877,112553,176231,199470,425867
2016,Kepulauan Bangka Belitung,0,0,168066,607038,64148,119585,232214,726623
2016,Kepulauan Riau,0,0,6094,20188,1315,1246,7409,21434
2016,DKI Jakarta,0,0,0,0,0,0,0,0
2016,Jawa Barat,13436,24865,3614,7712,244,248,17294,32825
2016,Jawa Tengah,0,0,0,0,0,0,0,0
2016,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2016,Jawa Timur,0,0,0,0,0,0,0,0
2016,Banten,9605,21792,2411,2304,7432,3373,19448,27469
2016,Bali,0,0,0,0,0,0,0,0
2016,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2016,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2016,Kalimantan Barat,25733,40153,831292,1403588,407410,748850,1264435,2192591
2016,Kalimantan Tengah,0,0,1138198,4020026,149930,240067,1288128,4260093
2016,Kalimantan Selatan,11449,47187,454873,1500628,86822,202574,553144,1750389
2016,Kalimantan Timur,54157,47224,690123,1839863,277034,471305,1021314,2358392
2016,Kalimantan Utara,0,0,22767,90140,27580,77528,50347,167668
2016,Sulawesi Utara,0,0,0,0,0,0,0,0
2016,Sulawesi Tengah,0,0,83381,152640,74806,164141,158187,316781
2016,Sulawesi Selatan,24378,16454,591,728,30738,87875,55707,105057
2016,Sulawesi Tenggara,1313,1152,60766,62906,6950,1347,69029,65405
2016,Gorontalo,0,0,1035,0,4957,10,5992,10
2016,Sulawesi Barat,0,0,55221,194167,95088,239939,150309,434106
2016,Maluku,0,0,9201,7271,853,44,10054,7315
2016,Maluku Utara,0,0,0,0,0,0,0,0
2016,Papua Barat,14747,38291,33528,60688,11405,36951,59680,135930
2016,Papua,13608,1591,57181,10892,14244,8162,85033,20645
2017,Aceh,29343,68273,128716,292150,282234,506838,440293,867261
2017,Sumatera Utara,316508,1074901,562921,1758936,581747,2018126,1461176,4851963
2017,Sumatera Barat,8405,37298,152584,616577,236536,555295,397525,1209170
2017,Riau,67876,238517,612864,3434639,1529012,3918291,2209752,7591447
2017,Jambi,24041,76693,167839,440084,576142,1266256,768022,1783033
2017,Sumatera Selatan,31711,80822,434189,1397299,566876,1508831,1032776,2986952
2017,Bengkulu,1283,3047,101957,287073,236513,559538,339753,849658
2017,Lampung,13601,38163,87057,201939,141685,215897,242343,455999
2017,Kepulauan Bangka Belitung,0,0,170186,641580,71402,114484,241588,756064
2017,Kepulauan Riau,0,0,6094,23461,3760,1634,9854,25095
2017,DKI Jakarta,0,0,0,0,0,0,0,0
2017,Jawa Barat,11843,33976,3717,8179,1094,261,16654,42416
2017,Jawa Tengah,0,0,0,0,0,0,0,0
2017,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2017,Jawa Timur,0,0,0,0,0,0,0,0
2017,Banten,9605,24317,2450,3392,7761,4356,19816,32065
2017,Bali,0,0,0,0,0,0,0,0
2017,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2017,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2017,Kalimantan Barat,27407,79763,1032216,1677861,416071,771353,1475694,2528977
2017,Kalimantan Tengah,0,0,1167292,4957769,171697,252066,1338989,5209835
2017,Kalimantan Selatan,8872,15864,351168,1238444,147956,305746,507996,1560054
2017,Kalimantan Timur,36230,47711,691829,1985569,350745,505425,1078804,2538705
2017,Kalimantan Utara,0,0,24377,92003,43082,113226,67459,205229
2017,Sulawesi Utara,0,0,0,0,0,0,0,0
2017,Sulawesi Tengah,0,0,83608,259546,90854,157585,174462,417131
2017,Sulawesi Selatan,24378,6721,4269,5938,36380,100409,65027,113068
2017,Sulawesi Tenggara,1314,1598,61344,82656,11127,2601,73785,86855
2017,Gorontalo,0,0,1669,1454,5157,34,6826,1488
2017,Sulawesi Barat,0,0,55222,272483,107136,254791,162358,527274
2017,Maluku,0,0,11460,10122,2280,297,13740,10419
2017,Maluku Utara,0,0,0,0,0,0,0,0
2017,Papua Barat,14077,2243,32658,81362,13600,47642,60335,131247
2017,Papua,11649,31356,99380,117321,67045,10207,178074,158884
2018,Aceh,48262,110573,208198,486742,237769,440087,494229,1037402
2018,Sumatera Utara,306135,1237231,553993,2136014,691475,2364026,1551603,5737271
2018,Sumatera Barat,8393,38947,151014,640642,220194,568680,379601,1248269
2018,Riau,70004,284513,902929,3422325,1733959,4789191,2706892,8496029
2018,Jambi,20014,90515,360419,1131136,651712,1469619,1032145,2691270
2018,Sumatera Selatan,31737,87954,468229,1372103,637676,2333565,1137642,3793622
2018,Bengkulu,829,1683,102821,310280,208157,735766,311807,1047729
2018,Lampung,11939,41459,80419,255405,109254,190339,201612,487203
2018,Kepulauan Bangka Belitung,0,0,154835,757823,69679,142495,224514,900318
2018,Kepulauan Riau,0,0,6594,27352,1281,1501,7875,28853
2018,DKI Jakarta,0,0,0,0,0,0,0,0
2018,Jawa Barat,11853,40902,3519,4764,304,358,15676,46024
2018,Jawa Tengah,0,0,0,0,0,0,0,0
2018,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2018,Jawa Timur,0,0,0,0,0,0,0,0
2018,Banten,9604,32052,2511,2730,7251,3624,19366,38406
2018,Bali,0,0,0,0,0,0,0,0
2018,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2018,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2018,Kalimantan Barat,31255,69565,1361777,2289228,422101,728096,1815133,3086889
2018,Kalimantan Tengah,0,0,1473957,6952393,166926,277701,1640883,7230094
2018,Kalimantan Selatan,7384,13591,430236,1206099,104800,244537,542420,1464227
2018,Kalimantan Timur,23303,32872,1125124,3258518,286058,495087,1434485,3786477
2018,Kalimantan Utara,0,0,119464,225641,35690,79485,155154,305126
2018,Sulawesi Utara,0,0,0,0,0,0,0,0
2018,Sulawesi Tengah,0,0,83255,262275,51601,121342,134856,383617
2018,Sulawesi Selatan,17313,13659,661,719,30792,91330,48766,105708
2018,Sulawesi Tenggara,1314,1004,66975,102145,6583,2964,74872,106113
2018,Gorontalo,0,0,5091,8661,4958,1280,10049,9941
2018,Sulawesi Barat,0,0,58919,200050,108599,186161,167518,386211
2018,Maluku,0,0,10264,23505,853,85,11117,23590
2018,Maluku Utara,0,0,0,0,0,0,0,0
2018,Papua Barat,0,0,33940,76766,16972,21361,50912,98127
2018,Papua,15417,50616,127562,286378,14244,8121,157223,345115
2019,Aceh,37582,89514,209579,602230,240365,441603,487526,1133347
2019,Sumatera Utara,305372,1339381,628587,2766395,439315,1541537,1373274,5647313
2019,Sumatera Barat,8403,37657,151598,647807,219661,567930,379662,1253394
2019,Riau,79244,335175,928418,4388842,1733959,4789191,2741621,9513208
2019,Jambi,20430,82660,362662,1332127,651712,1469619,1034804,2884406
2019,Sumatera Selatan,38918,85761,514807,1663306,637676,2300088,1191401,4049155
2019,Bengkulu,829,1768,100665,282066,209178,748222,310672,1032056
2019,Lampung,10225,27862,73170,182998,109609,203346,193004,414206
2019,Kepulauan Bangka Belitung,0,0,154490,668337,70671,147330,225161,815667
2019,Kepulauan Riau,0,0,6115,21276,1281,1512,7396,22788
2019,DKI Jakarta,0,0,0,0,0,0,0,0
2019,Jawa Barat,10174,25628,3238,6175,304,363,13716,32166
2019,Jawa Tengah,0,0,0,0,0,0,0,0
2019,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2019,Jawa Timur,0,0,0,0,0,0,0,0
2019,Banten,9997,25542,2377,2397,6868,3380,19242,31319
2019,Bali,0,0,0,0,0,0,0,0
2019,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2019,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2019,Kalimantan Barat,28977,42800,1424141,4219057,564338,973442,2017456,5235299
2019,Kalimantan Tengah,0,0,1541996,7162659,380088,502182,1922084,7664841
2019,Kalimantan Selatan,5453,9693,359400,1411620,106411,244084,471264,1665397
2019,Kalimantan Timur,19716,23634,978589,3458880,255919,506370,1254224,3988884
2019,Kalimantan Utara,0,0,118060,229204,37319,52185,155379,281389
2019,Sulawesi Utara,0,0,0,0,0,0,0,0
2019,Sulawesi Tengah,0,0,83455,259880,54084,121781,137539,381661
2019,Sulawesi Selatan,20264,6109,3080,2386,28423,82468,51767,90963
2019,Sulawesi Tenggara,6500,1183,48490,53674,6731,4603,61721,59460
2019,Gorontalo,0,0,8096,14282,3653,1893,11749,16175
2019,Sulawesi Barat,0,0,51304,158768,104766,189588,156070,348356
2019,Maluku,0,0,9149,17481,853,93,10002,17574
2019,Maluku Utara,0,0,5541,0,0,0,5541,0
2019,Papua Barat,0,0,31303,78549,19347,24946,50650,103495
2019,Papua,15417,0,144026,429607,14244,8121,173687,437728
2020,Aceh,33512,82124,193673,500738,242819,444436,470004,1027298
2020,Sumatera Utara,292321,1492043,552902,2124876,441400,1583945,1286623,5200864
2020,Sumatera Barat,8403,36945,165589,609287,242342,652421,416334,1298653
2020,Riau,75150,359212,1024819,3772831,1762163,4731888,2862132,8863931
2020,Jambi,20407,94710,291342,1012970,771997,1532214,1083746,2639894
2020,Sumatera Selatan,35821,84388,502888,1446909,503532,1747797,1042241,3279094
2020,Bengkulu,830,1292,103788,294563,213734,770316,318352,1066171
2020,Lampung,8847,22600,65628,136480,109339,197639,183814,356719
2020,Kepulauan Bangka Belitung,0,0,163961,644843,73210,158478,237171,803321
2020,Kepulauan Riau,0,0,6120,18248,1273,1505,7393,19753
2020,DKI Jakarta,0,0,0,0,0,0,0,0
2020,Jawa Barat,10341,24992,2799,6856,286,362,13426,32210
2020,Jawa Tengah,0,0,0,0,0,0,0,0
2020,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2020,Jawa Timur,0,0,0,0,0,0,0,0
2020,Banten,9997,18831,2374,1967,7185,3235,19556,24033
2020,Bali,0,0,0,0,0,0,0,0
2020,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2020,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2020,Kalimantan Barat,27404,44739,1392656,4269327,689830,1428859,2109890,5742925
2020,Kalimantan Tengah,0,0,1522876,7137959,357944,934920,1880820,8072879
2020,Kalimantan Selatan,5377,11593,355223,1047360,106934,246144,467534,1305097
2020,Kalimantan Timur,16222,28622,1051144,3153853,254044,540254,1321410,3722729
2020,Kalimantan Utara,0,0,173860,466174,37275,67479,211135,533653
2020,Sulawesi Utara,0,0,0,0,0,0,0,0
2020,Sulawesi Tengah,0,0,80977,302134,53981,129784,134958,431918
2020,Sulawesi Selatan,14347,7170,2922,3223,30918,88763,48187,99156
2020,Sulawesi Tenggara,6262,1351,60694,45911,7524,5030,74480,52292
2020,Gorontalo,0,0,8894,2319,4958,4223,13852,6542
2020,Sulawesi Barat,0,0,40304,134199,104845,196935,145149,331134
2020,Maluku,0,0,9860,19166,853,103,10713,19269
2020,Maluku Utara,0,0,5555,0,0,0,5555,0
2020,Papua Barat,0,0,42975,86196,11429,20579,54404,106775
2020,Papua,0,0,153475,697417,14244,8121,167719,705538
2021,Aceh,33325,87546,195153,422072,247101,456426,475579,966044
2021,Sumatera Utara,288809,1358200,517204,2267118,442073,1639416,1248086,5264734
2021,Sumatera Barat,8403,41207,189806,687000,250631,668605,448840,1396812
2021,Riau,75192,393782,1020818,3750433,1762163,4817725,2858173,8961940
2021,Jambi,20591,84340,292111,828259,771998,1519044,1084700,2431643
2021,Sumatera Selatan,33865,101308,561246,1721216,522247,1869177,1117358,3691701
2021,Bengkulu,830,2202,98706,264120,273286,728261,372822,994583
2021,Lampung,7601,33060,79855,218168,109175,198771,196631,449999
2021,Kepulauan Bangka Belitung,0,0,155361,686432,79457,179619,234818,866051
2021,Kepulauan Riau,0,0,6073,14101,1283,1722,7356,15823
2021,DKI Jakarta,0,0,0,0,0,0,0,0
2021,Jawa Barat,10334,24760,3788,3884,291,372,14413,29016
2021,Jawa Tengah,0,0,0,0,0,0,0,0
2021,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2021,Jawa Timur,0,0,0,0,0,0,0,0
2021,Banten,9997,24879,2374,2315,6697,3235,19068,30429
2021,Bali,0,0,0,0,0,0,0,0
2021,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2021,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2021,Kalimantan Barat,28021,48177,1453126,4242266,534767,1041895,2015914,5332338
2021,Kalimantan Tengah,0,0,1446281,6298022,376612,982721,1822893,7280743
2021,Kalimantan Selatan,5377,14912,355897,920431,107582,251938,468856,1187281
2021,Kalimantan Timur,16027,26687,1043425,3176312,252643,547608,1312095,3750607
2021,Kalimantan Utara,0,0,199641,517138,37494,73521,237135,590659
